Price,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.33387756347656,72.39408555090253,71.0911838210517,71.34405442839761,135480400.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-03,71.63066101074219,72.38928035156616,71.40668901147588,71.56322834377139,146322800.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-06,72.201416015625,72.23995000976231,70.50355369984423,70.75402098693286,118387200.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-07,71.86185455322266,72.46633779595872,71.6426965801033,72.21105649751387,108872000.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-08,73.0178451538086,73.31888511458335,71.56562867701548,71.56562867701548,132079200.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-09,74.56880950927734,74.76147215954668,73.74275755557424,73.9932175310026,170108400.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-10,74.73737335205078,75.30092656417412,74.23644614635045,74.8024026801614,140644800.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-13,76.3340835571289,76.36057889021191,74.93485068528152,75.05286332420356,121532000.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-14,75.3033447265625,76.48101668324267,75.18052540962947,76.27149402827726,161954400.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-15,74.98060607910156,75.98246770801262,74.54951490172726,75.10343270524221,121923600.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-16,75.91987609863281,76.03066410855739,75.16125678084022,75.52250477498995,108829200.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-17,76.76036834716797,76.76277166888072,75.86206254796348,76.16791647174253,137816400.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-21,76.24016571044922,76.83019952815127,76.10288974668396,76.3894803308505,110843200.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-22,76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-23,76.88079833984375,76.96026966222608,76.01861570517516,76.56530902285643,104472000.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-24,76.65921020507812,77.86818383448923,76.46895092458591,77.12642473209515,146537600.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-27,74.405029296875,75.08416976822737,73.42484155700832,74.67234921705278,161940000.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-28,76.5099105834961,76.68089922753784,75.18533472345831,75.2840767149778,162234000.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-30,77.99822235107422,78.0512056603916,76.7651642610764,77.19625539826748,126743200.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-01-31,74.53990173339844,77.71165450707113,74.24608645041388,77.29019858022654,199588400.0,AAPL,,,,,,,,,,,,,,,,,,,,
2020-02-03,74.33517456054688,75.498389394716,72.78421654858387,73.28514366287956,173788400.0,AAPL,,,,,,,,,,,,,,,,,,,,
