Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Company,Sector,Market Cap,Forward PE,EPS,Revenue,Net Income,Profit Margin,Return on Equity
2020-02-05,77.4154281616211,80.36250305175781,81.19000244140625,79.73750305175781,80.87999725341797,118826800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-06,78.3209457397461,81.30249786376953,81.30500030517578,80.06500244140625,80.64250183105469,105425600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-07,77.25637817382812,80.00749969482422,80.8499984741211,79.5,80.59249877929688,117684000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-10,77.62328338623047,80.38749694824219,80.38749694824219,78.4625015258789,78.54499816894531,109348800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-11,77.15499114990234,79.90249633789062,80.9749984741211,79.67749786376953,80.9000015258789,94323200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-12,78.98722076416016,81.80000305175781,81.80500030517578,80.36750030517578,80.36750030517578,113730400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-13,78.42473602294922,81.21749877929688,81.55500030517578,80.8375015258789,81.04750061035156,94747600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-14,78.44405364990234,81.23750305175781,81.49500274658203,80.7125015258789,81.18499755859375,80113600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-18,77.00772094726562,79.75,79.9375,78.65249633789062,78.83999633789062,152531200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-19,78.12299346923828,80.90499877929688,81.14250183105469,80.0,80.0,93984000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-20,77.32154083251953,80.07499694824219,81.1624984741211,79.55249786376953,80.65750122070312,100566000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-21,75.57137298583984,78.26249694824219,80.11250305175781,77.625,79.65499877929688,129554000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-24,71.98170471191406,74.54499816894531,76.04499816894531,72.30750274658203,74.31500244140625,222195200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-25,69.54352569580078,72.0199966430664,75.63249969482422,71.53250122070312,75.23750305175781,230673600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-26,70.64674377441406,73.1624984741211,74.47000122070312,71.625,71.63249969482422,198054800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-27,66.02869415283203,68.37999725341797,71.5,68.23999786376953,70.2750015258789,320605600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-02-28,65.99004364013672,68.33999633789062,69.60250091552734,64.09249877929688,64.31500244140625,426510000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-02,72.13375854492188,74.70249938964844,75.36000061035156,69.43000030517578,70.56999969482422,341397200,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-03,69.84286499023438,72.33000183105469,76.0,71.44999694824219,75.9175033569336,319475600,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-04,73.08250427246094,75.68499755859375,75.8499984741211,73.28250122070312,74.11000061035156,219178400,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-05,70.71192169189453,73.2300033569336,74.88749694824219,72.85250091552734,73.87999725341797,187572800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-06,69.77284240722656,72.25749969482422,72.70500183105469,70.30750274658203,70.5,226176800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-09,64.25437927246094,66.5425033569336,69.52249908447266,65.75,65.9375,286744800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-10,68.8820571899414,71.33499908447266,71.61000061035156,67.34249877929688,69.28500366210938,285290000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-11,66.4897689819336,68.85749816894531,70.30500030517578,67.96499633789062,69.34750366210938,255598800,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-12,59.92357635498047,62.057498931884766,67.5,62.0,63.98500061035156,418474000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
2020-03-13,67.10294342041016,69.49250030517578,69.9800033569336,63.23749923706055,66.22250366210938,370732000,AAPL,Apple Inc.,Technology,4138015391744,29.320671,8.25,451442016256,122575003648,0.27152002,1.4147099
