Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,151.82952880859375,151.93350926772743,149.66486306224806,150.09023242281285,22622100
2020-01-03,149.93899536132812,151.19620847768044,149.4096455068012,149.6554253847614,21116200
2020-01-06,150.32652282714844,150.392698754351,147.94443465072618,148.48324631955307,20813700
2020-01-07,148.95596313476562,150.93157814835348,148.7101976078873,150.60074160336796,21634100
2020-01-08,151.32858276367188,151.99973219349283,149.30570137096382,150.2320638417951,27746500
2020-01-09,153.21908569335938,153.34197562938405,152.21710000371593,152.98276776943587,21385000
2020-01-10,152.5101318359375,154.2872472384287,152.35888490302304,153.909144329844,20725900
2020-01-13,154.34396362304688,154.3723206204449,152.43451073060453,152.90714658550698,21626500
2020-01-14,153.25689697265625,154.64644744971824,152.86933213511907,154.44793405712338,23477400
2020-01-15,154.24948120117188,154.9678971670826,153.67287911610023,153.7201311781048,21417900
2020-01-16,157.07579040527344,157.14196634501582,155.05290962474845,155.35540348008348,23865400
2020-01-17,157.9549102783203,158.30465619935018,156.37629381209493,158.25738972858082,34371700
2020-01-21,157.3877410888672,158.98525260050442,157.32156514521276,157.55788307477562,29517200
2020-01-22,156.63150024414062,158.3235444747058,156.61259077362428,158.23845906923225,24138800
2020-01-23,157.59568786621094,157.6713113277231,156.22504688259176,157.09469505443082,19680800
2020-01-24,156.0076446533203,158.3613765241698,155.44993777757642,158.3424670503659,24918100
2020-01-27,153.39871215820312,154.43851694569852,151.4325450114777,152.33055036956728,32078100
2020-01-28,156.4046630859375,156.68823305925625,154.1454642817214,154.81659911684454,24899900
2020-01-29,158.8434295654297,159.51457873200403,156.6220500121223,158.65437813463538,34754500
2020-01-30,163.3240203857422,164.52451931588942,161.44292477265313,164.52451931588942,51597500
2020-01-31,160.91360473632812,162.9648426873359,160.29918387299614,162.7852531721158,36142700
2020-02-03,164.8365020751953,164.94993007628167,161.07430990386203,161.10266690413363,30107000
2020-02-04,170.26235961914062,170.75390501577263,166.66087620777762,167.44545356772943,36433300
2020-02-05,170.05441284179688,174.11908498739666,168.64596691048436,173.95839049164914,39186300
2020-02-06,173.58026123046875,173.75986517610264,170.20563405922817,171.06583483899962,27751400
2020-02-07,173.8260040283203,175.47078190024337,172.49316753333272,172.8429278537335,33529100
2020-02-10,178.37278747558594,178.50512495189932,173.22105900121804,173.53300042903595,35844300
2020-02-11,174.34593200683594,180.2633282452073,173.45737421261373,180.21606177076302,53159900
2020-02-12,174.60113525390625,175.67874437299267,171.89765772024018,175.4235169852956,47062900
2020-02-13,173.65589904785156,176.03797374039397,172.86185972663358,173.06037316286404,35295800
2020-02-14,175.20611572265625,175.26282971697995,172.65387058847747,173.22103937911754,23149500
2020-02-18,176.9832000732422,177.42747888527302,175.34788422129685,175.45186467568067,27792200
2020-02-19,177.5140380859375,178.36710062256168,176.74627891035584,178.25336280783833,29997500
2020-02-20,174.80316162109375,177.48558908217993,171.6562951458951,177.20123010558348,36862400
2020-02-21,169.27719116210938,173.9311563648692,168.00707065761887,173.6183629039544,48572600
2020-02-24,161.97869873046875,165.4478463263177,154.71813679067944,159.02140017038658,68311100
2020-02-25,159.30575561523438,165.72271383699095,158.90764439039998,165.1160881339019,68073300
2020-02-26,161.29623413085938,164.2250980795155,159.43844930371904,160.86022960459255,56206100
2020-02-27,149.93145751953125,158.31996665846233,149.74188971489195,154.80343832364952,93174900
2020-02-28,153.561767578125,155.17313038454182,144.0737575661736,144.4623810412788,97012700
2020-03-02,163.7796173095703,163.90284290585905,153.8461156233935,156.68967642563902,71030800
2020-03-03,155.93141174316406,165.87440256658573,153.79874085302225,164.73698098446346,71677000
2020-03-04,161.65643310546875,161.79860535911507,156.98350737328664,159.7038570188698,49814400
2020-03-05,157.5996551513672,161.95977394730102,157.0498982125775,157.3911261586159,47817300
2020-03-06,153.1446990966797,154.60438714349928,147.8651480849498,154.13046038681674,72821100
2020-03-09,142.76564025878906,149.52383800903493,142.17797591984302,143.125829092642,70419300
2020-03-10,152.52859497070312,152.6328594420787,144.62349965654747,149.91252432041284,65354400
2020-03-11,145.61880493164062,149.47656293341387,143.26811675505746,148.93629371027805,56371600
2020-03-12,131.8085174560547,145.46709111192325,131.35355178409353,137.72312904394167,93226400
2020-03-13,150.5476531982422,153.46704526627724,133.39148993976292,139.80846559682539,92727400
2020-03-16,128.35836791992188,141.56197970377613,127.96027103449792,132.6995403320719,87905900
2020-03-17,138.92689514160156,139.8083919587841,127.96022314871765,132.69949067274422,81059800
2020-03-18,133.07861328125,138.38659817455317,127.97917175876371,130.80377087731736,81593200
2020-03-19,135.26821899414062,142.32023895199598,131.75167511472426,135.32508790671272,85922700
2020-03-20,130.18772888183594,139.42930369211481,128.7754214733434,138.38665869750938,84866200
2020-03-23,128.88912963867188,133.23978869379377,125.60956425248216,129.86541769841315,78975200
2020-03-24,140.60459899902344,141.79890378670194,133.90328159423055,136.25395446330393,82516700
2020-03-25,139.2586669921875,146.28226653788022,136.90799381312664,141.14490110421414,75638200
2020-03-26,147.9694366455078,148.4907590553709,140.63304405067825,140.66147850366175,64568100
2020-03-27,141.89369201660156,146.8130548956865,141.4197651798974,143.83679493970843,57042300
2020-03-30,151.8745574951172,152.2252731140304,142.18749387169183,144.49078532530984,63420300
2020-03-31,149.4860076904297,156.1873255730772,148.3959672991363,151.0878682333424,77927200
2020-04-01,144.17800903320312,149.52390266074318,142.95528427536644,145.02159814322476,57969900
2020-04-02,147.16372680664062,147.37225573029235,142.5192505175172,143.9410307443627,49630700
2020-04-03,145.80833435058594,149.17321783075897,144.25385488302902,147.01211258227983,41243300
2020-04-06,156.6517791748047,157.8176351324215,149.3627821810192,151.95990642835253,67111700
2020-04-07,154.96458435058594,161.13510584413748,154.74656761748417,160.74648241184053,62769000
2020-04-08,156.51910400390625,157.9787925050275,154.97409766807493,157.0309386966601,48318200
2020-04-09,156.5285186767578,158.6422278276437,154.81290624062876,157.68490104666392,51385100
2020-04-13,156.87928771972656,156.9361711005346,153.83668491764462,155.7797882301745,41905300
2020-04-14,164.64219665527344,164.6895922363069,159.23943306877445,160.18728683704097,52874300
2020-04-15,162.9170379638672,164.51891243491653,160.41470570549205,162.27249016688722,40940800
2020-04-16,167.8080291748047,168.0355192918761,163.88391504970426,165.21091903796932,50479600
2020-04-17,169.28668212890625,170.61367156696483,166.69903103004185,170.13974470150103,52765600
2020-04-20,165.93124389648438,169.42882588907332,165.86490166729666,167.4193809458809,36669600
2020-04-21,159.06881713867188,164.6137526846759,157.4479809248554,164.4526192889561,56203700
2020-04-22,164.47157287597656,164.92653858793065,161.91237085947336,162.45263993058774,34620200
2020-04-23,162.48109436035156,165.9312815649868,161.997694135911,165.0308233603539,32790800
2020-04-24,165.44789123535156,165.4573645670676,161.80813594834027,163.08772995889328,34277600
2020-04-27,164.9739227294922,167.67529682402676,164.26303252623075,167.38146452077441,33194400
2020-04-28,160.9550323486328,166.50945553550488,160.55693553548355,166.43362550493845,34392700
2020-04-29,168.17767333984375,168.41463676243595,162.9170969287767,164.18721740272696,51286600
