Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2020-01-02,5.963802814483643,5.963802814483643,5.884504609303141,5.9349671466123946,237536000
2020-01-03,5.86834716796875,5.912098283248919,5.819375789570351,5.844234388573591,205384000
2020-01-06,5.892956256866455,5.898176519464269,5.74902588859055,5.775127201579622,262636000
2020-01-07,5.964300155639648,6.010039801296708,5.876301039294927,5.9212948654387905,314856000
2020-01-08,5.9754862785339355,6.016751479720285,5.920051929536978,5.960073940201328,277108000
2020-01-09,6.041114807128906,6.113453158617896,5.987420526855702,6.061747414906389,255112000
2020-01-10,6.073427677154541,6.178579200962617,6.059258531368829,6.148251899667894,316296000
2020-01-13,6.263845443725586,6.288952489506994,6.133835297475145,6.156456910250187,319840000
2020-01-14,6.147010326385498,6.246444236201566,6.133834971804429,6.221088269155128,359088000
2020-01-15,6.104502201080322,6.182060796386267,6.078649335978341,6.15968810642731,263104000
2020-01-16,6.188027858734131,6.1939939419440035,6.134582032493706,6.157948994174717,284192000
2020-01-17,6.1967267990112305,6.214625044311348,6.149247067465797,6.2071673235684,253792000
2020-01-21,6.163418769836426,6.196977813299668,6.129362355167134,6.160187042343165,217916000
2020-01-22,6.2173590660095215,6.3038665357767805,6.189766117121181,6.2086586293454715,239240000
2020-01-23,6.285721778869629,6.294173769700094,6.168638520500725,6.2573834759438345,244516000
2020-01-24,6.226559162139893,6.450783010321496,6.172367512330804,6.40106580470724,373512000
2020-01-27,5.971013069152832,6.0219729859012325,5.772890562498944,5.92229013718489,470536000
2020-01-28,6.164163589477539,6.196479436751818,5.9836904141412175,6.036887788328454,310976000
2020-01-29,6.103756904602051,6.185789943729785,6.0639828644708,6.149745001380459,258848000
2020-01-30,6.11046838760376,6.123892191463495,5.9511256737179945,6.006062657393327,290504000
2020-01-31,5.877295970916748,6.076661182932319,5.835533866568299,6.064729017650381,370420000
2020-02-03,5.974244117736816,5.993633529611149,5.852934409802068,5.859148940575211,255564000
2020-02-04,6.14328145980835,6.162422897112003,6.065971787601257,6.115937429917117,271544000
2020-02-05,6.233518123626709,6.274285957619516,6.150241893918573,6.264093880586738,208220000
2020-02-06,6.320274353027344,6.320274353027344,6.186784499679763,6.267823274549807,218284000
2020-02-07,6.254151344299316,6.302376904478737,6.228795373447548,6.2802526606422955,189752000
2020-02-10,6.537041664123535,6.537787009661811,6.271801066388234,6.276772881473703,529608000
